env_size,epsilon,decay,gamma,alpha,all_rewards,min_reward,max_reward,mean_reward,var_reward,all_turns_elapsed,min_turns_elapsed,max_turns_elapsed,mean_turns_elapsed,var_turns_elapsed,mean_ending_epsilon
10,0.7,0.9,0.8,0.02,"[-1870, -61, -543, -32, -4539, -331, -980, -4673, -340, -843, -881, -3737, 70, -1230, -6320, -222, -40, -931, -134, 58, -1457, -726, 15, -1320, -5, -1329, -4079, -3057, -716, -979, -665, -609, 23, -2161, -1288, -182, -431, -29, -146, -258, -32, -306, 32, 33, 49, -387, -3332, -994, -747, 34, 45, -856, -798, 2, -142, 75, 35, -89, -122, -110, -7, 38, -226, -1739, -2615, 50, -27, 51, -85, -644, -236, -3352, -60, -232, -30, -298, -380, 31, 52, 81, 67, -80, 69, 77, -184, -321, 29, -4, -3245, 5, 65, 39, 64, 14, -7, -371, 25, -354, -94, 68]",-6320,81,-683.54,1211.8493835456616,"[434, 34, 139, 24, 955, 91, 232, 1014, 99, 215, 212, 827, 8, 285, 1375, 66, 30, 214, 46, 14, 359, 187, 24, 319, 25, 314, 890, 693, 185, 233, 184, 155, 17, 502, 320, 59, 114, 35, 57, 72, 35, 97, 17, 18, 17, 121, 771, 248, 187, 17, 14, 213, 198, 26, 62, 8, 16, 50, 57, 49, 23, 15, 69, 416, 639, 11, 30, 11, 34, 172, 76, 814, 39, 70, 23, 92, 109, 16, 15, 7, 9, 54, 11, 6, 68, 93, 21, 25, 735, 26, 11, 12, 12, 23, 20, 103, 16, 100, 41, 11]",6,1375,173.57,262.42611360152404,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[63, 56, 64, -195, -230, -40, 40, 23, 87, -100, -29, -84, -175, -147, -376, -1609, 74, 72, -379, -72, -124, -128, -327, 53, 65, -47, -271, -2157, -146, -128, -141, 29, 87, -2750, -122, -1329, 75, 0, 70, 77, -526, 67, 65, 68, 62, 57, 30, -388, 17, 42, -63, 51, 61, 31, 61, 13, 16, 26, -5, -6, 72, 82, -123, 81, 66, 71, -29, 73, -5, 25, 62, 54, 58, -1785, 61, 86, 29, -26, 52, -19, 21, -143, 6, 36, -804, 43, 70, 9, -38, 70, 74, 53, -56, 45, -33, -2506, 58, 1, 8, 53]",-2750,87,-146.4,509.32618232327303,"[11, 15, 10, 73, 81, 34, 11, 16, 6, 50, 30, 41, 61, 65, 98, 357, 9, 9, 104, 44, 53, 56, 101, 10, 8, 33, 97, 505, 55, 47, 56, 14, 6, 624, 59, 328, 8, 27, 11, 9, 135, 12, 8, 10, 9, 12, 18, 120, 20, 16, 42, 14, 10, 14, 10, 18, 20, 17, 34, 29, 9, 6, 49, 7, 10, 10, 32, 11, 30, 19, 11, 10, 10, 454, 10, 7, 18, 29, 14, 31, 16, 62, 24, 16, 210, 14, 8, 22, 33, 8, 10, 13, 47, 17, 32, 619, 11, 23, 21, 13]",6,624,57.96,115.13295965969085,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[71, 54, 67, 55, 39, 50, 36, 19, 44, 31, 67, -89, 4, -15, 54, 80, -13, 66, -9, 56, 79, 35, -15, 81, 38, 52, 53, 55, -5, 13, -216, 73, -11, 72, 13, 44, 61, 64, 44, 76, 78, -43, 25, 70, 50, 69, 54, 60, 76, -28, -10, 32, 58, 27, 49, 73, 70, -110, 39, -31, 47, 46, 37, 87, 63, 77, 47, 55, 77, 53, 74, -62, 36, 19, 70, 52, 56, -12, 60, 61, 37, -4, 63, 3, 78, 71, -257, -30, 71, 60, 42, 80, 76, 60, 51, 24, 46, 57, 27, 45]",-257,87,34.24,53.78868282454962,"[10, 14, 9, 12, 20, 16, 17, 18, 20, 18, 9, 51, 26, 30, 13, 8, 26, 10, 23, 14, 10, 20, 30, 7, 19, 13, 14, 11, 25, 17, 69, 10, 29, 9, 22, 16, 10, 13, 13, 11, 8, 29, 20, 9, 11, 13, 13, 11, 7, 29, 26, 19, 15, 19, 17, 10, 12, 48, 16, 30, 12, 14, 17, 6, 12, 6, 15, 12, 12, 11, 10, 47, 18, 23, 8, 19, 12, 26, 13, 13, 20, 25, 10, 28, 8, 10, 93, 25, 10, 10, 12, 8, 10, 12, 14, 18, 13, 13, 19, 15]",6,93,17.73,12.450586331574911,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[-398, 14, -133, 82, 53, 65, 27, 70, 29, 65, -14, 31, -24, 39, 75, 73, 69, 62, 47, 58, 64, 49, 55, -210, 50, 81, 22, 74, 44, 19, 44, 10, 63, 43, 55, 21, 49, 32, 69, 63, 68, 43, 45, 51, 42, 38, 69, 63, 41, 67, 26, 78, -5, 63, 60, 7, 70, -30, 83, 77, 48, 62, 4, -33, 49, 34, 15, 59, 61, 20, 61, 72, 62, 64, 7, 49, 27, 49, 59, 64, 34, 62, 63, 11, 60, 78, 68, 80, 58, 60, 80, 66, 53, 54, 68, 84, 24, 56, 54, 55]",-398,84,39.44,59.4503692166836,"[95, 24, 57, 6, 14, 11, 23, 8, 21, 8, 33, 17, 28, 17, 9, 11, 10, 14, 20, 14, 10, 16, 12, 71, 11, 7, 17, 10, 16, 21, 16, 24, 10, 16, 12, 21, 18, 16, 10, 11, 11, 18, 16, 16, 20, 16, 9, 9, 16, 12, 18, 8, 27, 11, 13, 24, 7, 28, 8, 9, 18, 12, 19, 30, 17, 16, 19, 15, 10, 18, 13, 9, 13, 10, 19, 13, 22, 15, 14, 9, 18, 12, 13, 22, 11, 8, 9, 8, 16, 15, 9, 13, 15, 12, 11, 7, 21, 13, 15, 15]",6,95,16.55,11.858646634418282,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[59, 9, 64, 33, 34, 15, 73, 75, 66, 36, 49, 66, 81, 25, 25, 63, 18, 62, 73, 4, 67, 38, 34, 40, 79, 54, 76, 43, -119, 29, 72, -13, 64, 59, 48, 59, 70, 58, 49, 48, 29, 56, 63, 3, 74, 34, 24, 33, 73, 60, -19, 49, 46, 85, -29, 32, 70, 55, 55, 69, 72, 60, 41, 41, 86, 59, 65, 48, 87, 69, 38, 62, 56, 61, 64, 25, 60, 17, 69, 25, 63, 81, 56, 50, 34, 32, 8, 71, 63, 81, 46, 52, 81, 42, 62, 64, -263, 24, 62, 72]",-263,87,45.33,42.21162280699476,"[15, 19, 13, 20, 16, 21, 8, 8, 10, 16, 13, 10, 7, 18, 19, 11, 19, 16, 8, 24, 9, 18, 16, 18, 7, 14, 10, 18, 56, 25, 9, 29, 10, 13, 14, 15, 10, 15, 17, 15, 20, 14, 11, 21, 7, 17, 21, 20, 11, 12, 34, 16, 18, 8, 28, 21, 12, 12, 16, 8, 9, 12, 17, 17, 7, 15, 12, 16, 6, 10, 19, 13, 14, 14, 13, 24, 12, 23, 9, 20, 11, 7, 11, 14, 19, 15, 25, 8, 16, 7, 14, 13, 7, 18, 9, 11, 103, 26, 12, 9]",6,103,15.93,11.132165108369529,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[33, 41, 66, 42, 62, 83, 65, 43, 80, 50, 63, 73, 52, 34, 46, 13, 64, 14, 34, 22, 55, 57, 34, 77, 16, 23, 47, 42, 41, 55, 70, 73, 48, 28, 52, 36, 53, 60, 79, 72, 61, 68, 34, 52, 56, 77, 80, 61, 72, 48, 74, 42, -5, 6, 42, 65, 52, 77, 39, 81, 47, 57, -2, 67, 11, 43, 58, 44, 34, 33, 63, 12, 78, 13, 69, 42, 10, 35, 5, 38, 46, 25, 42, 75, 67, 76, 51, 56, 84, 63, 69, 40, 82, 38, 76, 63, 69, -31, 63, 29]",-31,84,49.2,22.7771815640127,"[18, 16, 14, 17, 13, 8, 13, 12, 8, 15, 11, 8, 17, 21, 16, 21, 9, 24, 18, 20, 11, 12, 22, 9, 23, 20, 15, 16, 16, 13, 9, 11, 15, 20, 18, 17, 14, 12, 9, 9, 10, 11, 18, 16, 18, 9, 8, 10, 9, 18, 7, 16, 24, 22, 16, 12, 12, 9, 17, 7, 14, 12, 23, 12, 29, 15, 12, 16, 20, 18, 14, 24, 8, 23, 13, 22, 24, 19, 24, 16, 14, 17, 19, 11, 10, 10, 12, 14, 7, 11, 9, 15, 9, 18, 7, 11, 10, 30, 9, 16]",7,30,14.76,5.198307416842524,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[34, 76, 24, 85, 41, 56, 83, 71, 60, 48, 59, 58, 55, 75, 34, 49, 49, -103, 37, 87, 30, 78, 76, 73, 28, 45, 83, 65, 58, 64, 31, 49, 85, 47, 33, 73, 55, 83, 17, 70, 40, 46, 50, 11, 26, 68, 77, 43, 46, 53, 54, 67, 39, 71, 25, 22, 51, 41, 64, 64, 69, 46, 63, 51, 58, 53, 79, 75, 82, 58, 41, 33, 72, 30, 36, 81, 57, 1, 83, 47, 61, 4, -18, 62, 29, 31, 54, 81, -9, 71, 47, 40, 61, 42, 24, 55, 75, 34, 41, 41]",-103,87,50.2,26.464315596667145,"[18, 7, 18, 8, 16, 15, 8, 14, 10, 18, 14, 11, 14, 8, 19, 12, 16, 37, 18, 6, 18, 11, 7, 9, 20, 15, 8, 12, 14, 10, 19, 17, 8, 17, 19, 13, 17, 8, 18, 10, 17, 16, 18, 23, 16, 9, 9, 19, 19, 11, 13, 8, 21, 11, 24, 19, 16, 16, 11, 12, 10, 14, 10, 15, 14, 17, 9, 8, 9, 11, 19, 20, 8, 17, 16, 7, 12, 21, 8, 16, 10, 23, 25, 13, 18, 17, 13, 7, 24, 10, 15, 17, 13, 19, 16, 12, 9, 19, 15, 18]",6,37,14.39,5.108610378566758,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[21, 13, 57, 64, 64, 65, 40, 70, 84, 65, 35, 46, 73, 87, 55, 48, 46, 82, 45, -34, 49, 64, 45, 57, 40, 61, 82, 14, -14, 53, 77, 49, 68, 36, 42, 9, 62, 35, -5, 64, 72, 62, 73, 46, 74, 50, 39, 42, 55, 62, 20, 73, 73, 26, 41, 65, 63, 69, 22, 71, 68, 70, 66, 55, 62, 45, 40, 41, 63, 87, 60, 40, 40, 76, 71, 67, 32, 68, 63, 65, 58, 66, 32, 49, 73, 80, 63, 53, 74, 41, 71, 50, 47, 44, 66, 34, 65, 47, 61, 58]",-34,87,53.23,21.016591065156117,"[21, 25, 13, 13, 13, 12, 13, 12, 7, 12, 17, 17, 11, 6, 12, 20, 13, 9, 17, 37, 16, 9, 15, 12, 15, 11, 6, 20, 26, 13, 9, 12, 8, 18, 16, 26, 10, 19, 27, 11, 9, 9, 11, 18, 10, 13, 18, 14, 12, 12, 25, 9, 11, 19, 17, 11, 12, 10, 19, 10, 13, 13, 10, 11, 16, 15, 18, 15, 11, 6, 12, 14, 20, 7, 7, 10, 20, 11, 12, 12, 17, 14, 18, 13, 11, 8, 14, 15, 10, 16, 10, 10, 16, 15, 11, 19, 10, 22, 13, 14]",6,37,13.97,5.113619070677831,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[11, 46, 53, 70, 28, 54, 81, 57, 35, 42, 23, 50, 14, 17, 67, 67, 82, 25, 47, 68, 47, 29, 31, 72, 83, 50, 39, 80, 27, 27, -11, 63, 74, 57, 63, 47, 61, 45, 45, 48, 50, 17, 87, 68, 68, 52, 29, 75, 52, 59, 86, 68, 70, 86, 66, 39, 73, 68, 79, 49, 33, 65, 72, 52, 72, 53, 40, 56, 66, 78, 71, 11, 68, 43, 70, 36, 57, 69, 62, 4, 82, 67, 59, 67, 75, 43, 55, 65, -20, 75, 58, 79, 49, 56, 64, 34, 41, 83, 64, 34]",-20,87,53.63,21.56416239968527,"[24, 15, 15, 8, 16, 13, 7, 13, 16, 16, 18, 18, 21, 25, 12, 14, 9, 18, 16, 10, 13, 18, 21, 10, 8, 12, 16, 9, 16, 19, 27, 13, 9, 12, 11, 14, 12, 15, 17, 15, 14, 22, 6, 13, 11, 13, 19, 9, 9, 12, 7, 10, 9, 7, 10, 15, 11, 11, 7, 19, 20, 12, 13, 18, 9, 16, 18, 14, 10, 8, 10, 20, 11, 15, 8, 17, 14, 10, 12, 27, 6, 9, 16, 12, 8, 14, 12, 12, 28, 9, 16, 7, 13, 15, 15, 16, 14, 5, 10, 20]",5,28,13.64,4.826012847061227,0.09455962023710951
10,0.7,0.9,0.8,0.02,"[62, 77, 60, 77, 38, 29, 24, 30, 69, 60, 9, 47, 47, 52, 12, 61, 14, 55, 46, 40, 38, 43, 28, 79, 56, 46, 73, 58, 38, 36, 57, 74, 38, 31, 10, 51, 55, 81, 77, 78, 69, 16, 60, 58, 39, 73, 70, 48, 35, 70, 65, 67, 40, 54, 81, 55, 49, 73, 77, 56, 76, 50, 44, 40, 72, 69, 86, 39, 33, 69, 72, 54, 45, 68, 35, 69, 41, 55, 37, 53, 60, 31, 81, 77, 71, 30, 44, 81, 37, 57, 61, 77, 83, 29, 16, 54, 45, 68, 73, 75]",9,86,53.68,18.943009264633748,"[15, 10, 12, 9, 16, 20, 18, 22, 13, 12, 25, 14, 16, 11, 22, 16, 20, 16, 16, 15, 16, 17, 22, 10, 13, 14, 8, 14, 20, 18, 13, 10, 24, 18, 20, 14, 15, 10, 6, 11, 10, 22, 12, 12, 18, 8, 12, 12, 21, 12, 12, 15, 20, 15, 7, 13, 15, 10, 9, 14, 7, 17, 17, 15, 6, 10, 7, 18, 14, 9, 9, 13, 17, 11, 15, 9, 17, 12, 16, 14, 16, 17, 7, 9, 9, 18, 18, 7, 16, 12, 10, 9, 8, 19, 22, 14, 15, 11, 8, 9]",6,25,13.87,4.42188873672778,0.09455962023710951
