env_size,epsilon,decay,gamma,alpha,experiment_mean_rewards,experiment_max_rewards,experiment_mean_turns_elapsed,experiment_min_turns_elapsed
10,0.6,0.9,0.9,0.01,"[-678.56, -314.69, -140.83, -59.52, -40.93, -10.54, -1.89, 8.03, 29.64, 29.88, 35.66]",35.66,"[165.35, 89.13, 52.35, 36.6, 32.86, 26.82, 24.28, 22.77, 18.97, 18.71, 17.84]",17.84
10,0.6,0.9,0.9,0.02,"[-550.92, -79.5, -4.45, 23.91, 21.68, 35.38, 34.38, 37.95, 44.72, 44.12, 42.68]",44.72,"[140.55, 41.04, 25.28, 20.05, 20.38, 17.75, 18.19, 17.55, 16.8, 16.68, 16.94]",16.68
10,0.6,0.9,0.9,0.03,"[-829.43, -131.41, -43.42, 26.49, 30.3, 36.75, 33.44, 32.69, 34.6, 34.44, 31.76]",36.75,"[200.5, 54.03, 35.32, 20.2, 19.65, 18.34, 18.72, 18.89, 18.63, 18.7, 18.84]",18.34
10,0.6,0.9,0.8,0.01,"[-933.56, -355.2, -206.78, -167.79, -93.91, 7.02, 2.86, -26.98, -17.78, 11.94, 20.91]",20.91,"[221.73, 103.08, 69.23, 63.67, 47.4, 24.1, 25.22, 32.3, 30.7, 22.63, 21.27]",21.27
10,0.6,0.9,0.8,0.02,"[-595.43, -105.79, 12.07, 29.75, 36.19, 40.27, 40.27, 41.63, 42.8, 45.17, 43.14]",45.17,"[149.43, 46.53, 22.59, 19.52, 17.66, 16.66, 16.78, 16.41, 16.35, 15.9, 16.31]",15.9
10,0.6,0.9,0.8,0.03,"[-551.94, -148.42, -2.8, 38.78, 39.37, 37.62, 39.08, 38.35, 39.67, 35.35, 41.58]",41.58,"[141.62, 60.26, 27.83, 18.29, 17.85, 18.14, 18.21, 18.44, 18.23, 18.75, 17.73]",17.73
10,0.6,0.9,0.7,0.01,"[-924.27, -263.0, -160.7, -65.11, -246.13, -42.03, 10.99, 19.07, -121.01, 6.09, -3.33]",19.07,"[226.91, 87.62, 64.91, 42.21, 94.68, 37.45, 24.19, 22.19, 63.83, 27.13, 30.69]",22.19
10,0.6,0.9,0.7,0.02,"[-989.76, -75.28, -1853.29, -364.41, -223.76, -48.49, 25.57, -16.37, -79.42, 2.16, 30.81]",30.81,"[249.98, 47.19, 564.66, 132.94, 92.37, 41.41, 20.3, 31.99, 50.71, 26.98, 19.68]",19.68
10,0.6,0.9,0.7,0.03,"[-887.11, -242.24, -28.2, -16.34, 22.57, 24.71, 20.06, 23.64, 25.76, 23.59, 17.79]",25.76,"[241.59, 93.7, 36.19, 33.6, 22.22, 21.54, 22.44, 21.64, 21.29, 22.01, 22.96]",21.29
10,0.6,0.8,0.9,0.01,"[-1117.89, -418.74, -267.97, -146.39, -57.14, 4.14, -11.28, 17.32, 26.0, 36.97, 33.99]",36.97,"[261.1, 113.29, 82.48, 56.34, 36.27, 24.58, 27.51, 21.64, 20.34, 17.82, 18.56]",17.82
10,0.6,0.8,0.9,0.02,"[-539.15, -124.95, -84.27, 40.18, -33.12, 46.8, 27.67, 46.92, 47.49, 43.73, 47.24]",47.49,"[135.82, 50.5, 43.96, 16.54, 33.77, 15.27, 19.81, 14.88, 15.62, 15.77, 15.35]",14.88
10,0.6,0.8,0.9,0.03,"[-705.16, -118.79, 19.34, 26.99, 31.35, 32.34, 30.79, 29.28, 30.38, 31.54, 36.7]",36.7,"[172.42, 51.04, 21.24, 19.77, 18.94, 18.8, 19.07, 19.41, 19.37, 19.16, 18.55]",18.55
10,0.6,0.8,0.8,0.01,"[-1369.08, -458.65, -406.3, -551.4, -212.41, -4358.09, -2517.62, -470.42, -1471.34, -3612.66, -2480.46]",-212.41,"[322.22, 132.53, 120.96, 178.6, 83.68, 1315.29, 777.1, 162.2, 466.4, 1097.82, 763.78]",83.68
